"submission_date (S)","conspirators (S)","drinker (S)"
"1505174386573-ea309","[none]","moneill"
"1505349215908-33f63","aliceeller,dennis","iknowcss"
"1505877177812-f7322","[none]","ttruong"
"1505349215967-e2533","[none]","dennis"
"1504656581282-0b3db","[none]","ttruong"
"1506647839787-782c9","[none]","timothy.clifford"
"1505712159372-22c1a","[none]","sprentice"
"1504588400605-19140","moneill","mnapier"
"1504479046993-57407","[none]","moneill"
"1505171130177-a20cd","[none]","mnapier"
"1506312219778-8d75a","[none]","daniel_livolsi"
"1505361778759-e04c4","ttruong","iknowcss"
"1506562753782-9a1f6","[none]","dennis"
"1504573228832-57513","[none]","sprentice"
"1505433256586-c2313","dennis,sprentice","aliceeller"
"1505181419109-0c10b","[none]","iknowcss"
"1504654680144-2900f","iknowcss","mnapier"
"1504868525717-065e5","[none]","sprentice"
"1505431005551-ce084","[none]","dennis"
"1505698436613-e1d96","[none]","timothy.clifford"
"1505090960696-a51a4","[none]","moneill"
"1504501315744-97821","[none]","sprentice"
"1505867811607-415d1","[none]","sprentice"
"1505279335471-5b5a2","[none]","aliceeller"
"1505451952538-fe8b0","[none]","sprentice"
"1504666290479-de32f","[none]","moneill"
"1504654787724-9109b","mnapier","iknowcss"
"1504850646883-8258a","[none]","mnapier"
"1506647825148-4d9c7","[none]","timothy.clifford"
"1505779277864-1eb6e","[none]","iknowcss"
"1506038025826-0c580","sprentice","dennis"
"1504500957765-84360","[none]","moneill"
"1506303360231-e6d12","[none]","iknowcss"
"1505349284684-b0221","[none]","timothy.clifford"
"1504568400684-1db7d","[none]","mnapier"
"1505780230364-9e1e6","[none]","timothy.clifford"
"1506297543869-17227","[none]","mnapier"
"1505451746197-4a85b","[none]","moneill"
